"filename", "language", "TXT", "XSL", "C++", "CSV", "Shell Script", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\TemplateLearning\example.hpp", "C++", 0, 0, -376, 0, 0, -18, -7, -401
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\TestFile.txt", "TXT", -6, 0, 0, 0, 0, 0, -2, -8
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\class_learn\circle.cpp", "C++", 0, 0, -28, 0, 0, 0, -1, -29
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\class_learn\circle.h", "C++", 0, 0, -16, 0, 0, -2, -6, -24
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\class_learn\person.cpp", "C++", 0, 0, 0, 0, 0, -26, -5, -31
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\class_learn\point.cpp", "C++", 0, 0, -17, 0, 0, 0, 0, -17
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\class_learn\point.h", "C++", 0, 0, -15, 0, 0, -1, -6, -22
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\class_learn\structure_fun.cpp", "C++", 0, 0, 0, 0, 0, -68, -7, -75
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\class_learn\test_circle.cpp", "C++", 0, 0, -36, 0, 0, -2, -2, -40
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\epmFile.txt", "TXT", -1, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\friend\good_friend.cpp", "C++", 0, 0, -79, 0, 0, -3, -7, -89
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\inherit_learning\inherit.cpp", "C++", 0, 0, 0, 0, 0, -124, 0, -124
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\inherit_learning\inherit_manner.cpp", "C++", 0, 0, 0, 0, 0, -149, -7, -156
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\inherit_learning\multiInherit.cpp", "C++", 0, 0, 0, 0, 0, -99, -9, -108
